method,path,operation_name,domain,tags
POST,/api/v1/automated-analyst/analyze,analyze_dataset_api_v1_automated_analyst_analyze_post,platform,
GET,/api/v1/automation/actions,automation_actions_api_v1_automation_actions_get,automation,
POST,/api/v1/automation/actions,automation_execute_api_v1_automation_actions_post,automation,
POST,/api/v1/automation/execute,automation_execute_api_v1_automation_execute_post,automation,
POST,/api/v1/automation/plan,automation_plan_api_v1_automation_plan_post,automation,
GET,/api/v1/automation/runs/{run_id},get_automation_run_status_api_v1_automation_runs__run_id__get,automation,
GET,/api/v1/dashboard-templates,get_dashboard_templates_api_v1_dashboard_templates_get,bi_reporting,
POST,/api/v1/dashboards/{dashboard_id}/validate,validate_dashboard_api_v1_dashboards__dashboard_id__validate_post,bi_reporting,
GET,/api/v1/dashboards/{dataset_id},get_standard_dashboard_api_v1_dashboards__dataset_id__get,bi_reporting,
GET,/api/v1/datasets,list_datasets_api_v1_datasets_get,dataset_analytics,
POST,/api/v1/datasets/import,import_dataset_api_v1_datasets_import_post,dataset_analytics,
POST,/api/v1/datasets/import/inspect,inspect_dataset_api_v1_datasets_import_inspect_post,dataset_analytics,
GET,/api/v1/datasets/{dataset_id}/analysis,get_latest_analysis_api_v1_datasets__dataset_id__analysis_get,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/automated_analyst,run_automated_analyst_api_v1_datasets__dataset_id__automated_analyst_post,dataset_analytics,
GET,/api/v1/datasets/{dataset_id}/bi_report,get_bi_report_api_v1_datasets__dataset_id__bi_report_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/html,download_bi_report_html_api_v1_datasets__dataset_id__bi_report_html_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/pdf,download_bi_report_pdf_api_v1_datasets__dataset_id__bi_report_pdf_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/powerbi,download_bi_report_powerbi_api_v1_datasets__dataset_id__bi_report_powerbi_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/tableau,download_bi_report_tableau_api_v1_datasets__dataset_id__bi_report_tableau_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/tableau_twb,download_bi_report_tableau_twb_api_v1_datasets__dataset_id__bi_report_tableau_twb_get,bi_reporting,
GET,/api/v1/datasets/{dataset_id}/bi_report/xlsx,download_bi_report_xlsx_api_v1_datasets__dataset_id__bi_report_xlsx_get,bi_reporting,
POST,/api/v1/datasets/{dataset_id}/business-analysis,analyze_business_question_api_v1_datasets__dataset_id__business_analysis_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/cleaning/apply,apply_cleaning_api_v1_datasets__dataset_id__cleaning_apply_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/cleaning/preview,preview_cleaning_api_v1_datasets__dataset_id__cleaning_preview_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/data-engineering/{operation},run_data_engineering_api_v1_datasets__dataset_id__data_engineering__operation__post,data_engineering,data-intelligence
POST,/api/v1/datasets/{dataset_id}/eda/report,eda_report_api_v1_datasets__dataset_id__eda_report_post,bi_reporting,
POST,/api/v1/datasets/{dataset_id}/findings,dataset_findings_api_v1_datasets__dataset_id__findings_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/forecast,forecast_dataset_api_v1_datasets__dataset_id__forecast_post,forecasting,data-intelligence
POST,/api/v1/datasets/{dataset_id}/forecasting/{operation},run_forecasting_api_v1_datasets__dataset_id__forecasting__operation__post,forecasting,data-intelligence
POST,/api/v1/datasets/{dataset_id}/intelligence/jobs,create_intelligence_job_api_v1_datasets__dataset_id__intelligence_jobs_post,dataset_analytics,data-intelligence
POST,/api/v1/datasets/{dataset_id}/kpis/calculate,calculate_dataset_kpi_api_v1_datasets__dataset_id__kpis_calculate_post,dataset_analytics,
GET,/api/v1/datasets/{dataset_id}/lineage,get_dataset_lineage_api_v1_datasets__dataset_id__lineage_get,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/ml/compare,ml_compare_api_v1_datasets__dataset_id__ml_compare_post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/ml/feature-selection,ml_feature_selection_api_v1_datasets__dataset_id__ml_feature_selection_post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/ml/readiness,ml_readiness_api_v1_datasets__dataset_id__ml_readiness_post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/ml/train,ml_train_api_v1_datasets__dataset_id__ml_train_post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/ml/tune,ml_tune_api_v1_datasets__dataset_id__ml_tune_post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/ml/unsupervised/{operation},ml_unsupervised_api_v1_datasets__dataset_id__ml_unsupervised__operation__post,machine_learning,data-intelligence
POST,/api/v1/datasets/{dataset_id}/orchestrate,orchestrate_dataset_api_v1_datasets__dataset_id__orchestrate_post,orchestration,data-intelligence
POST,/api/v1/datasets/{dataset_id}/orchestration/{operation},run_orchestration_api_v1_datasets__dataset_id__orchestration__operation__post,orchestration,data-intelligence
GET,/api/v1/datasets/{dataset_id}/preview,get_dataset_preview_api_v1_datasets__dataset_id__preview_get,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/quality/analyze,analyze_quality_api_v1_datasets__dataset_id__quality_analyze_post,dataset_analytics,
GET,/api/v1/datasets/{dataset_id}/source,download_dataset_source_api_v1_datasets__dataset_id__source_get,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/sql/query,query_dataset_with_sql_api_v1_datasets__dataset_id__sql_query_post,dataset_analytics,
POST,/api/v1/datasets/{dataset_id}/statistics/summary,statistics_summary_api_v1_datasets__dataset_id__statistics_summary_post,dataset_analytics,
