entity,columns,primary_key,foreign_keys,indexes
analysis_runs,id;dataset_id;source_version_id;engine;tool_number;parameters;result;warnings;status;created_at,id,dataset_id->datasets.id;source_version_id->dataset_versions.id,
approval_records,id;model_version_id;requested_status;decision;approved_by;evidence;created_at,id,model_version_id->model_versions.id,ix_approval_records_decision;ix_approval_records_model_version_id
artifacts,id;dataset_id;source_version_id;artifact_type;storage_path;sha256;size;metadata;created_at,id,dataset_id->datasets.id;source_version_id->dataset_versions.id,
audit_events,id;dataset_id;input_version_id;output_version_id;engine;parameters;affected_rows;affected_columns;before_stats;after_stats;timestamp,id,dataset_id->datasets.id;input_version_id->dataset_versions.id;output_version_id->dataset_versions.id,
automation_runs,id;dataset_id;source_version_id;action;parameters;idempotency_key;correlation_id;job_type;status;progress;result;artifact_ids;error_details;created_at;started_at;completed_at,id,dataset_id->datasets.id;source_version_id->dataset_versions.id,ix_automation_runs_idempotency_key;ix_automation_runs_job_type
dataset_versions,id;dataset_id;version_number;parent_version_id;storage_path;sha256;row_count;column_count;created_at,id,dataset_id->datasets.id;parent_version_id->dataset_versions.id,
datasets,id;name;source_type;original_filename;current_version_id;created_at;updated_at,id,,
experiment_runs,id;experiment_id;analysis_run_id;model_version_id;parameters;metrics;reproducibility_manifest;status;started_at;completed_at,id,analysis_run_id->analysis_runs.id;experiment_id->experiments.id;model_version_id->model_versions.id,ix_experiment_runs_experiment_id;ix_experiment_runs_status
experiments,id;workspace_id;name;objective;dataset_id;status;created_at;updated_at,id,dataset_id->datasets.id,ix_experiments_dataset_id;ix_experiments_status;ix_experiments_workspace_id
model_versions,id;model_id;version;algorithm;parameters;metrics;training_dataset_id;training_source_version_id;feature_specification;preprocessing_specification;artifact_id;artifact_sha256;status;created_at,id,artifact_id->artifacts.id;model_id->registered_models.id;training_dataset_id->datasets.id;training_source_version_id->dataset_versions.id,ix_model_versions_algorithm;ix_model_versions_model_id;ix_model_versions_status;ix_model_versions_training_dataset_id;ix_model_versions_training_source_version_id
monitoring_policies,id;model_id;name;definition;enabled;created_at;updated_at,id,model_id->registered_models.id,ix_monitoring_policies_model_id
monitoring_runs,id;policy_id;model_version_id;dataset_id;source_version_id;metrics;events;status;started_at;completed_at,id,dataset_id->datasets.id;model_version_id->model_versions.id;policy_id->monitoring_policies.id;source_version_id->dataset_versions.id,ix_monitoring_runs_dataset_id;ix_monitoring_runs_model_version_id;ix_monitoring_runs_policy_id;ix_monitoring_runs_source_version_id;ix_monitoring_runs_status
pipeline_runs,id;dataset_id;source_version_id;output_version_id;pipeline_type;steps;status;started_at;completed_at,id,dataset_id->datasets.id;output_version_id->dataset_versions.id;source_version_id->dataset_versions.id,
registered_models,id;workspace_id;name;task_type;description;owner;status;created_at;updated_at,id,,ix_registered_models_status;ix_registered_models_workspace_id
report_definitions,id;dataset_id;title;definition_json;created_at;updated_at,id,dataset_id->datasets.id,
workspace_assets,id;workspace_id;asset_type;name;description;dataset_id;definition;status;owner;tags;version;created_at;updated_at,id,dataset_id->datasets.id,ix_workspace_assets_asset_type;ix_workspace_assets_status;ix_workspace_assets_workspace_id
