Order Date,Country,Store ID,Segment,Product Name,Units Sold,Sales Amount,Gross Profit
2024-04-12,UK,Store E,Home,Home Product 6,18,855.3155991823832,162.71382449798077
2024-12-14,Germany,Store B,Electronics,Electronics Product 8,14,4862.995138372891,1351.2303848033953
2024-09-27,Canada,Store B,Home,Home Product 7,5,1422.3653688473141,326.43323629414107
2024-04-16,France,Store D,Clothing,Clothing Product 8,5,293.2586838776099,58.41148398775105
2024-03-12,France,Store D,Home,Home Product 4,2,972.6463005349211,73.13033175227186
2024-07-07,Canada,Store E,Electronics,Electronics Product 5,15,6981.619364916015,1458.5999271874948
2024-01-21,UK,Store A,Home,Home Product 7,11,3930.4352839764683,310.18806988349604
2024-04-12,Canada,Store C,Sports,Sports Product 3,13,1566.7947993448358,144.85239869634643
2024-05-01,USA,Store C,Beauty,Beauty Product 5,4,1889.4926986647945,415.3377257527524
2024-08-02,Canada,Store B,Clothing,Clothing Product 2,6,2466.706293734247,274.2766033918726
2024-11-26,USA,Store B,Clothing,Clothing Product 3,17,4493.052496770829,1182.1847012521741
2024-03-28,France,Store E,Home,Home Product 4,3,214.99857259569893,52.289497281163385
2024-04-09,France,Store C,Electronics,Electronics Product 6,5,1769.5120515309359,133.23108439594353
2024-12-25,France,Store B,Beauty,Beauty Product 3,11,1248.296782108649,197.3897830635025
2024-05-31,UK,Store B,Electronics,Electronics Product 5,8,669.6731257018894,157.7622084581248
2024-05-10,USA,Store D,Home,Home Product 1,11,2773.0532017097953,718.259656364923
2024-05-29,USA,Store A,Electronics,Electronics Product 4,6,827.6081859643123,164.2381020000298
2024-11-04,USA,Store E,Beauty,Beauty Product 6,9,3452.919707749411,192.75912104262704
2024-09-14,Canada,Store A,Beauty,Beauty Product 6,3,358.92268878517314,29.70161329105772
2024-12-09,UK,Store A,Electronics,Electronics Product 9,19,4559.599493120465,412.7100925095902
2024-10-20,France,Store E,Home,Home Product 6,9,4131.750114218693,508.95939150557257
2024-07-10,Canada,Store C,Beauty,Beauty Product 4,16,6153.294574027293,1409.6898066433291
2024-10-03,UK,Store B,Electronics,Electronics Product 1,11,3608.0088971870364,969.1384881078391
2024-06-09,France,Store E,Electronics,Electronics Product 1,11,241.8343570589075,42.46382964851193
2024-11-09,USA,Store B,Clothing,Clothing Product 9,5,90.48010008974424,23.074437777075058
2024-01-22,USA,Store D,Beauty,Beauty Product 9,13,1203.2184500636888,236.6805793389734
2024-09-09,USA,Store A,Clothing,Clothing Product 1,2,358.17248098840383,35.761745956070584
2024-08-23,Germany,Store D,Beauty,Beauty Product 8,2,384.38024412663157,102.36854200427338
2024-12-10,USA,Store A,Home,Home Product 7,19,8624.90918474899,2547.8386124969365
2024-02-18,France,Store C,Clothing,Clothing Product 3,17,5964.828401634243,612.8718593379024
2024-02-28,Canada,Store E,Clothing,Clothing Product 8,13,2621.3063404678533,558.9489673921718
2024-06-18,Canada,Store C,Home,Home Product 8,4,794.8728420111413,94.93654008064303
2024-07-06,Germany,Store A,Sports,Sports Product 8,19,5829.961481455805,1078.8761225718115
2024-09-27,Germany,Store D,Clothing,Clothing Product 1,16,4733.752472355875,1361.562572884688
2024-07-08,France,Store A,Home,Home Product 5,2,467.1816401203736,126.24053728663323
2024-06-23,UK,Store C,Home,Home Product 5,14,3627.157163966959,902.9337633296861
2024-02-20,Germany,Store C,Home,Home Product 8,16,304.5672141707511,21.362928756204422
2024-12-29,Germany,Store D,Beauty,Beauty Product 2,18,5321.1727729229715,839.4173849433492
2024-02-24,France,Store D,Home,Home Product 9,6,1171.5923702885545,202.6245216742921
2024-08-31,Canada,Store C,Home,Home Product 5,3,906.4388454022694,165.5527249752811
2024-11-15,France,Store A,Electronics,Electronics Product 8,17,2195.208896591813,444.3877976313351
2024-05-10,USA,Store A,Sports,Sports Product 5,11,331.7402011979297,49.30639712517609
2024-11-02,UK,Store E,Clothing,Clothing Product 2,12,3638.5041277994223,342.74184707512467
2024-05-14,Germany,Store C,Home,Home Product 1,14,1993.190139931984,126.99147974013104
2024-01-21,UK,Store E,Electronics,Electronics Product 3,3,1131.0494472684613,76.46874640226686
2024-11-24,France,Store C,Home,Home Product 8,8,213.5661610332169,47.62512906304724
2024-06-15,Canada,Store E,Sports,Sports Product 4,9,834.1186926485867,138.21714433476473
2024-09-30,UK,Store B,Sports,Sports Product 4,3,857.8307560778244,230.72254777647592
2024-03-29,Germany,Store A,Clothing,Clothing Product 8,6,1229.0373421138688,217.27570139361
2024-11-11,USA,Store A,Home,Home Product 7,8,247.41740002069645,15.027510732759382
2024-01-14,UK,Store B,Clothing,Clothing Product 5,9,2645.966003445739,556.5607910516718
2024-08-29,France,Store D,Clothing,Clothing Product 8,19,1741.7169321144422,239.91388774102856
2024-09-21,France,Store B,Electronics,Electronics Product 7,13,5843.325204382815,476.6894312179411
2024-12-11,UK,Store A,Home,Home Product 9,2,598.8848151389572,110.92770813500466
2024-02-22,France,Store C,Beauty,Beauty Product 6,3,789.673033223951,220.3546410071447
2024-12-05,UK,Store E,Beauty,Beauty Product 2,14,4516.047260949421,495.2528481489979
2024-04-01,UK,Store A,Sports,Sports Product 4,18,1020.5412273891035,145.28139794741904
2024-09-20,Canada,Store B,Beauty,Beauty Product 7,19,1495.3336762711072,188.01776314898555
2024-02-04,France,Store C,Clothing,Clothing Product 7,16,2161.5698056980027,156.06989031728872
2024-07-24,Canada,Store A,Clothing,Clothing Product 7,2,657.3042685347514,181.00227226341684
2024-03-21,France,Store B,Electronics,Electronics Product 8,17,8295.568021888332,1036.6566030265724
2024-02-19,Canada,Store A,Sports,Sports Product 4,18,322.47581047198844,72.67062009412281
2024-12-25,USA,Store B,Sports,Sports Product 1,9,2624.31846918499,585.6453798303062
2024-01-02,France,Store B,Sports,Sports Product 3,17,5282.313717658569,1030.8951780695943
