customer_id,date,amount,order_id
C001,2025-01-01,517.18,O0001
C002,2025-01-02,515.07,O0002
C003,2025-01-03,216.02,O0003
C004,2025-01-04,173.13,O0004
C005,2025-01-05,589.52,O0005
C006,2025-01-06,557.22,O0006
C007,2025-01-07,474.67,O0007
C008,2025-01-08,354.66,O0008
C009,2025-01-09,132.94,O0009
C010,2025-01-10,739.18,O0010
C011,2025-01-11,147.37,O0011
C012,2025-01-12,574.26,O0012
C013,2025-01-13,166.42,O0013
C014,2025-01-14,191.9,O0014
C015,2025-01-15,217.67,O0015
C016,2025-01-16,550.91,O0016
C001,2025-01-17,341.4,O0017
C002,2025-01-18,148.87,O0018
C003,2025-01-19,300.87,O0019
C004,2025-01-20,434.97,O0020
C005,2025-01-21,383.66,O0021
C006,2025-01-22,409.68,O0022
C007,2025-01-23,392.56,O0023
C008,2025-01-24,175.22,O0024
C009,2025-01-25,611.7,O0025
C010,2025-01-26,705.14,O0026
C011,2025-01-27,730.33,O0027
C012,2025-01-28,786.37,O0028
C013,2025-01-29,352.89,O0029
C014,2025-01-30,291.11,O0030
C015,2025-01-31,168.48,O0031
C016,2025-02-01,814.75,O0032
C001,2025-02-02,535.03,O0033
C002,2025-02-03,217.22,O0034
C003,2025-02-04,128.34,O0035
C004,2025-02-05,601.09,O0036
C005,2025-02-06,574.65,O0037
C006,2025-02-07,763.95,O0038
C007,2025-02-08,667.02,O0039
C008,2025-02-09,542.33,O0040
C009,2025-02-10,629.85,O0041
C010,2025-02-11,190.92,O0042
C011,2025-02-12,153.94,O0043
C012,2025-02-13,420.31,O0044
C013,2025-02-14,423.16,O0045
C014,2025-02-15,187.76,O0046
C015,2025-02-16,401.59,O0047
C016,2025-02-17,176.16,O0048
