date,channel,visitors,product_views,add_to_cart,checkout_started,purchases,revenue
2025-01-01,Organic,1097,853,250,158,85,2928.83
2025-01-02,Paid Search,759,443,156,111,50,3488.4
2025-01-03,Email,753,497,222,114,81,3632.51
2025-01-04,Social,1715,1107,457,306,191,22777.36
2025-01-05,Organic,1542,1012,264,178,87,4532.8
2025-01-06,Paid Search,1736,1316,498,307,237,8046.67
2025-01-07,Email,1075,835,360,213,154,13850.51
2025-01-08,Social,750,486,174,118,73,8217.09
2025-01-09,Organic,1546,936,264,153,97,7605.05
2025-01-10,Paid Search,1368,808,352,199,120,10957.68
2025-01-11,Email,1586,938,266,158,74,7020.34
2025-01-12,Social,1578,873,317,197,145,17824.09
2025-01-13,Organic,1717,1262,515,244,115,6011.95
2025-01-14,Paid Search,1131,665,289,202,95,5908.71
2025-01-15,Email,1158,924,234,167,95,4658.13
2025-01-16,Social,1756,1255,428,295,165,6547.21
2025-01-17,Organic,1126,815,349,205,128,14094.86
2025-01-18,Paid Search,968,644,245,124,84,6136.15
2025-01-19,Email,1054,730,322,160,113,4532.91
2025-01-20,Social,791,438,123,75,57,1804.25
2025-01-21,Organic,1054,676,285,199,116,13951.41
2025-01-22,Paid Search,757,501,179,90,52,3230.43
2025-01-23,Email,1023,577,188,99,65,4912.01
2025-01-24,Social,1431,1110,357,203,133,6873.1
2025-01-25,Organic,1760,1275,517,320,215,26540.02
2025-01-26,Paid Search,1287,798,228,140,98,5525.13
2025-01-27,Email,1071,741,319,150,115,14597.44
2025-01-28,Social,971,739,250,134,77,9197.8
2025-01-29,Organic,1671,987,352,237,135,5275.52
2025-01-30,Paid Search,956,757,333,156,99,6692.63
2025-01-31,Email,1709,1350,340,165,128,7133.47
2025-02-01,Social,956,659,203,143,76,5362.8
2025-02-02,Organic,1699,1200,348,222,106,11099.94
2025-02-03,Paid Search,1488,883,359,239,124,11440.7
2025-02-04,Email,1296,859,338,182,137,7602.27
2025-02-05,Social,1076,769,306,160,100,3116.68
2025-02-06,Organic,1383,889,341,225,148,17852.19
2025-02-07,Paid Search,1329,874,264,150,86,6872.29
2025-02-08,Email,1223,971,387,274,173,12581.36
2025-02-09,Social,942,584,256,172,130,6284.07
2025-02-10,Organic,1379,832,360,252,185,6284.55
2025-02-11,Paid Search,823,551,238,147,104,11954.41
2025-02-12,Email,1331,803,281,151,84,4471.92
2025-02-13,Social,1587,1126,409,274,199,5760.66
2025-02-14,Organic,1606,1048,408,290,192,8234.84
2025-02-15,Paid Search,1694,986,312,142,103,12997.76
2025-02-16,Email,748,416,112,58,40,3743.04
2025-02-17,Social,924,732,251,125,73,7563.2
