date,region,channel,revenue,marketing_spend,orders,nps,customer_id
2025-01-01,North,Organic,3901.82,284.29,9,27.09,C000
2025-01-02,South,Paid,3628.78,706.33,54,53.26,C001
2025-01-03,East,Partner,7750.04,1040.51,35,48.71,C002
2025-01-04,West,Email,3981.68,185.53,38,52.42,C003
2025-01-05,North,Organic,7484.5,1528.25,27,26.97,C004
2025-01-06,South,Paid,7536.07,1377.37,75,56.66,C005
2025-01-07,East,Partner,5594.92,260.79,42,55.68,C006
2025-01-08,West,Email,8242.12,1651.28,4,66.36,C007
2025-01-09,North,Organic,6535.25,1126.54,15,65.16,C008
2025-01-10,South,Paid,3274.83,338.77,22,66.21,C009
2025-01-11,East,Partner,6067.66,529.19,50,27.74,C010
2025-01-12,West,Email,4977.56,829.45,39,50.28,C011
2025-01-13,North,Organic,8978.64,1042.4,29,26.11,C012
2025-01-14,South,Paid,2015.44,148.76,35,35.83,C013
2025-01-15,East,Partner,6616.63,1058.35,48,69.35,C014
2025-01-16,West,Email,3667.65,208.57,25,59.86,C015
2025-01-17,North,Organic,2127.46,153.86,45,66.37,C016
2025-01-18,South,Paid,884.59,68.99,75,35.01,C017
2025-01-19,East,Partner,3941.97,720.65,78,47.35,C018
2025-01-20,West,Email,8978.76,1517.83,17,54.86,C019
2025-01-21,North,Organic,2836.94,207.44,77,64.55,C020
2025-01-22,South,Paid,3590.99,174.09,70,56.87,C021
2025-01-23,East,Partner,1767.33,311.02,73,63.23,C022
2025-01-24,West,Email,7871.75,597.05,59,27.2,C023
2025-01-25,North,Organic,8452.41,1261.56,5,81.14,C024
2025-01-26,South,Paid,5038.92,498.24,34,56.91,C000
2025-01-27,East,Partner,2615.17,423.23,48,62.71,C001
2025-01-28,West,Email,8004.41,612.28,45,81.41,C002
2025-01-29,North,Organic,5947.17,1173.59,43,32.21,C003
2025-01-30,South,Paid,8748.19,915.11,18,65.04,C004
2025-01-31,East,Partner,5784.19,641.48,68,70.29,C005
2025-02-01,West,Email,6800.42,383.79,22,42.2,C006
2025-02-02,North,Organic,7671.7,866.57,79,35.77,C007
2025-02-03,South,Paid,7817.93,568.25,44,76.35,C008
2025-02-04,East,Partner,8761.98,576.35,18,29.47,C009
2025-02-05,West,Email,7313.15,1090.62,10,80.91,C010
2025-02-06,North,Organic,3799.94,305.93,36,52.86,C011
2025-02-07,South,Paid,6987.37,423.61,39,50.7,C012
2025-02-08,East,Partner,6057.44,331.09,9,58.38,C013
2025-02-09,West,Email,5507.76,497.67,27,62.69,C014
2025-02-10,North,Organic,8712.05,777.1,36,34.19,C015
2025-02-11,South,Paid,6555.67,296.18,6,47.04,C016
2025-02-12,East,Partner,8338.12,528.47,28,66.5,C017
2025-02-13,West,Email,7484.79,540.35,24,42.31,C018
2025-02-14,North,Organic,1246.32,201.67,78,75.35,C019
2025-02-15,South,Paid,2126.66,93.28,53,56.24,C020
2025-02-16,East,Partner,1159.05,146.29,65,40.71,C021
2025-02-17,West,Email,3239.27,629.68,48,40.97,C022
