transaction_id,date,merchant_category,amount,country,is_fraud
T0001,2025-01-01,Retail,339.95,India,0
T0002,2025-01-02,Travel,469.0,USA,0
T0003,2025-01-03,Digital,538.52,UK,0
T0004,2025-01-04,Grocery,388.99,India,0
T0005,2025-01-05,Retail,213.01,USA,0
T0006,2025-01-06,Travel,92.82,UK,0
T0007,2025-01-07,Digital,111.26,India,0
T0008,2025-01-08,Grocery,476.29,USA,0
T0009,2025-01-09,Retail,109.48,UK,0
T0010,2025-01-10,Travel,452.62,India,0
T0011,2025-01-11,Digital,69.7,USA,0
T0012,2025-01-12,Grocery,408.33,UK,0
T0013,2025-01-13,Retail,26.03,India,0
T0014,2025-01-14,Travel,561.55,USA,0
T0015,2025-01-15,Digital,553.14,UK,0
T0016,2025-01-16,Grocery,128.68,India,0
T0017,2025-01-17,Retail,11.29,USA,0
T0018,2025-01-18,Travel,12.16,UK,0
T0019,2025-01-19,Digital,362.89,India,0
T0020,2025-01-20,Grocery,568.26,USA,0
T0021,2025-01-21,Retail,2829.2,UK,1
T0022,2025-01-22,Travel,481.3,India,0
T0023,2025-01-23,Digital,352.76,USA,0
T0024,2025-01-24,Grocery,571.39,UK,0
T0025,2025-01-25,Retail,617.35,India,0
T0026,2025-01-26,Travel,515.69,USA,0
T0027,2025-01-27,Digital,430.53,UK,0
T0028,2025-01-28,Grocery,92.77,India,0
T0029,2025-01-29,Retail,467.9,USA,0
T0030,2025-01-30,Travel,563.22,UK,0
T0031,2025-01-31,Digital,455.36,India,0
T0032,2025-02-01,Grocery,363.41,USA,0
T0033,2025-02-02,Retail,633.92,UK,0
T0034,2025-02-03,Travel,452.14,India,0
T0035,2025-02-04,Digital,101.33,USA,0
T0036,2025-02-05,Grocery,129.65,UK,0
T0037,2025-02-06,Retail,563.99,India,0
T0038,2025-02-07,Travel,375.66,USA,0
T0039,2025-02-08,Digital,560.56,UK,0
T0040,2025-02-09,Grocery,310.12,India,0
T0041,2025-02-10,Retail,448.16,USA,0
T0042,2025-02-11,Travel,267.1,UK,0
T0043,2025-02-12,Digital,572.28,India,0
T0044,2025-02-13,Grocery,478.1,USA,0
T0045,2025-02-14,Retail,538.79,UK,0
T0046,2025-02-15,Travel,209.41,India,0
T0047,2025-02-16,Digital,128.0,USA,0
T0048,2025-02-17,Grocery,754.6,UK,1
