employee_id,department,overtime,monthly_income,tenure,attrition
E001,Sales,Yes,55921,11,1
E002,Engineering,No,142112,11,0
E003,HR,Yes,62811,13,0
E004,Operations,No,173061,14,1
E005,Sales,Yes,50224,6,1
E006,Engineering,No,37688,12,0
E007,HR,Yes,144232,9,0
E008,Operations,No,30665,12,0
E009,Sales,Yes,160069,8,0
E010,Engineering,No,32569,5,0
E011,HR,Yes,133850,5,1
E012,Operations,No,154250,5,0
E013,Sales,Yes,165012,10,0
E014,Engineering,No,75312,8,1
E015,HR,Yes,59887,9,0
E016,Operations,No,71874,7,0
E017,Sales,Yes,38460,2,0
E018,Engineering,No,70742,10,0
E019,HR,Yes,158068,5,0
E020,Operations,No,69296,13,0
E021,Sales,Yes,49847,5,1
E022,Engineering,No,40982,3,0
E023,HR,Yes,124068,7,1
E024,Operations,No,138132,9,0
E025,Sales,Yes,36854,6,1
E026,Engineering,No,94461,13,0
E027,HR,Yes,145604,2,1
E028,Operations,No,138342,5,0
E029,Sales,Yes,125992,9,0
E030,Engineering,No,179009,12,0
E031,HR,Yes,48999,14,0
E032,Operations,No,136924,9,0
E033,Sales,Yes,92352,14,0
E034,Engineering,No,114271,10,0
E035,HR,Yes,49733,12,1
E036,Operations,No,161592,1,0
E037,Sales,Yes,171604,12,1
E038,Engineering,No,162560,7,1
E039,HR,Yes,53461,13,0
E040,Operations,No,78230,5,0
E041,Sales,Yes,116068,3,0
E042,Engineering,No,141135,3,0
E043,HR,Yes,98089,11,0
E044,Operations,No,140762,9,0
E045,Sales,Yes,68667,3,1
E046,Engineering,No,122858,4,0
E047,HR,Yes,173130,4,1
E048,Operations,No,113198,4,1
