loan_id,income,loan_amount,credit_score,defaulted,purpose
L0001,244562,157704,773,0,Home
L0002,70532,88441,655,0,Education
L0003,152382,17148,801,1,Auto
L0004,220292,104095,567,0,Personal
L0005,115605,64520,594,0,Home
L0006,226758,128948,790,0,Education
L0007,168207,155164,523,1,Auto
L0008,209646,19430,694,0,Personal
L0009,28171,40796,521,1,Home
L0010,129356,20276,779,0,Education
L0011,38288,48174,810,0,Auto
L0012,229907,48922,610,1,Personal
L0013,54669,72737,603,1,Home
L0014,222165,77847,700,0,Education
L0015,182667,159545,523,0,Auto
L0016,206009,125210,541,0,Personal
L0017,164066,166872,738,0,Home
L0018,257527,15745,529,0,Education
L0019,151045,127018,711,0,Auto
L0020,245991,115430,522,0,Personal
L0021,146338,143955,633,0,Home
L0022,103659,125142,664,0,Education
L0023,247923,117766,700,0,Auto
L0024,188227,17564,571,1,Personal
L0025,202631,97622,723,0,Home
L0026,30788,28379,754,0,Education
L0027,174889,98290,701,0,Auto
L0028,99240,164687,612,0,Personal
L0029,136313,134809,545,1,Home
L0030,205607,88969,737,1,Education
L0031,203267,15319,805,0,Auto
L0032,65505,27563,776,0,Personal
L0033,206901,105386,779,0,Home
L0034,209181,73132,622,0,Education
L0035,213055,19834,613,0,Auto
L0036,142548,91378,524,1,Personal
L0037,103770,106559,625,0,Home
L0038,219905,14605,734,0,Education
L0039,144822,133654,780,0,Auto
L0040,66916,63405,620,0,Personal
L0041,32976,46174,635,0,Home
L0042,215605,177639,670,0,Education
L0043,58132,153335,522,0,Auto
L0044,78941,21373,571,1,Personal
L0045,50869,115019,624,0,Home
L0046,90059,62016,716,0,Education
L0047,183211,43714,619,1,Auto
L0048,107324,33954,783,0,Personal
