title,content_type,genre,country,release_year,rating,duration
Show 1,Movie,Drama,India,2012,6.7,152
Show 2,Series,Comedy,USA,2013,6.59,70
Show 3,Podcast,Documentary,UK,2014,6.63,150
Show 4,Movie,Music,Canada,2015,5.96,40
Show 5,Series,Drama,India,2016,8.72,113
Show 6,Podcast,Comedy,USA,2017,6.97,113
Show 7,Movie,Documentary,UK,2018,5.22,72
Show 8,Series,Music,Canada,2019,8.43,81
Show 9,Podcast,Drama,India,2020,5.81,113
Show 10,Movie,Comedy,USA,2021,6.69,110
Show 11,Series,Documentary,UK,2022,6.91,131
Show 12,Podcast,Music,Canada,2023,8.84,101
Show 13,Movie,Drama,India,2024,8.84,75
Show 14,Series,Comedy,USA,2012,5.27,112
Show 15,Podcast,Documentary,UK,2013,7.17,94
Show 16,Movie,Music,Canada,2014,8.74,96
Show 17,Series,Drama,India,2015,7.28,81
Show 18,Podcast,Comedy,USA,2016,7.3,35
Show 19,Movie,Documentary,UK,2017,6.27,38
Show 20,Series,Music,Canada,2018,7.68,96
Show 21,Podcast,Drama,India,2019,7.01,92
Show 22,Movie,Comedy,USA,2020,5.89,111
Show 23,Series,Documentary,UK,2021,7.89,154
Show 24,Podcast,Music,Canada,2022,5.75,73
Show 25,Movie,Drama,India,2023,8.03,151
Show 26,Series,Comedy,USA,2024,8.45,34
Show 27,Podcast,Documentary,UK,2012,8.31,149
Show 28,Movie,Music,Canada,2013,7.71,84
Show 29,Series,Drama,India,2014,8.12,52
Show 30,Podcast,Comedy,USA,2015,6.21,76
Show 31,Movie,Documentary,UK,2016,5.72,84
Show 32,Series,Music,Canada,2017,7.25,125
Show 33,Podcast,Drama,India,2018,6.85,105
Show 34,Movie,Comedy,USA,2019,5.73,128
Show 35,Series,Documentary,UK,2020,7.53,54
Show 36,Podcast,Music,Canada,2021,8.85,40
Show 37,Movie,Drama,India,2022,9.18,96
Show 38,Series,Comedy,USA,2023,9.22,95
Show 39,Podcast,Documentary,UK,2024,5.95,105
Show 40,Movie,Music,Canada,2012,6.9,35
Show 41,Series,Drama,India,2013,7.74,150
Show 42,Podcast,Comedy,USA,2014,5.47,66
Show 43,Movie,Documentary,UK,2015,8.69,145
Show 44,Series,Music,Canada,2016,7.73,125
Show 45,Podcast,Drama,India,2017,9.32,34
Show 46,Movie,Comedy,USA,2018,9.17,62
Show 47,Series,Documentary,UK,2019,5.53,69
Show 48,Podcast,Music,Canada,2020,8.13,79
