title,genre,release_year,runtime,rating
Film 1,Drama,2010,89,6.64
Film 2,Comedy,2011,85,7.37
Film 3,Action,2012,160,8.69
Film 4,Documentary,2013,162,7.25
Film 5,Drama,2014,101,6.54
Film 6,Comedy,2015,140,6.33
Film 7,Action,2016,117,7.35
Film 8,Documentary,2017,147,7.7
Film 9,Drama,2018,79,9.26
Film 10,Comedy,2019,149,6.31
Film 11,Action,2020,92,7.15
Film 12,Documentary,2021,145,7.2
Film 13,Drama,2022,126,5.8
Film 14,Comedy,2023,80,7.35
Film 15,Action,2010,89,6.86
Film 16,Documentary,2011,149,7.85
Film 17,Drama,2012,165,7.1
Film 18,Comedy,2013,125,8.16
Film 19,Action,2014,113,6.18
Film 20,Documentary,2015,126,7.37
Film 21,Drama,2016,119,6.03
Film 22,Comedy,2017,132,6.54
Film 23,Action,2018,143,7.32
Film 24,Documentary,2019,99,5.63
Film 25,Drama,2020,97,9.02
Film 26,Comedy,2021,147,9.09
Film 27,Action,2022,155,6.19
Film 28,Documentary,2023,105,8.41
Film 29,Drama,2010,165,7.66
Film 30,Comedy,2011,133,7.93
Film 31,Action,2012,126,5.78
Film 32,Documentary,2013,127,7.45
Film 33,Drama,2014,126,6.65
Film 34,Comedy,2015,156,7.15
Film 35,Action,2016,99,8.85
Film 36,Documentary,2017,153,6.32
Film 37,Drama,2018,159,6.86
Film 38,Comedy,2019,85,6.42
Film 39,Action,2020,140,7.74
Film 40,Documentary,2021,89,6.02
Film 41,Drama,2022,152,8.68
Film 42,Comedy,2023,121,7.27
Film 43,Action,2010,130,9.07
Film 44,Documentary,2011,97,7.6
Film 45,Drama,2012,110,5.91
Film 46,Comedy,2013,120,7.83
Film 47,Action,2014,104,8.25
Film 48,Documentary,2015,163,6.16
