date,region,cases,deaths,vaccination
2025-01-01,North,158,3,38.96
2025-01-02,South,237,4,42.51
2025-01-03,East,97,3,43.49
2025-01-04,West,62,4,45.88
2025-01-05,North,201,4,46.87
2025-01-06,South,195,1,45.45
2025-01-07,East,90,4,48.16
2025-01-08,West,69,5,46.37
2025-01-09,North,21,2,50.0
2025-01-10,South,91,0,50.71
2025-01-11,East,54,0,52.52
2025-01-12,West,180,4,52.5
2025-01-13,North,109,4,53.06
2025-01-14,South,210,8,52.86
2025-01-15,East,196,7,56.03
2025-01-16,West,170,6,57.8
2025-01-17,North,113,2,57.92
2025-01-18,South,103,4,58.67
2025-01-19,East,208,6,59.82
2025-01-20,West,195,4,58.0
2025-01-21,North,32,2,63.35
2025-01-22,South,155,6,64.24
2025-01-23,East,159,3,63.6
2025-01-24,West,58,0,66.27
2025-01-25,North,117,3,61.83
2025-01-26,South,22,1,69.31
2025-01-27,East,75,4,66.73
2025-01-28,West,79,0,67.12
2025-01-29,North,55,1,69.08
2025-01-30,South,28,0,71.71
2025-01-31,East,211,3,75.03
2025-02-01,West,162,4,72.72
2025-02-02,North,21,0,72.98
2025-02-03,South,107,4,77.24
2025-02-04,East,56,2,75.94
2025-02-05,West,22,1,75.62
2025-02-06,North,187,5,78.34
2025-02-07,South,149,1,79.76
2025-02-08,East,189,5,78.16
2025-02-09,West,38,1,80.01
2025-02-10,North,198,3,84.2
2025-02-11,South,180,2,82.58
2025-02-12,East,120,4,82.94
2025-02-13,West,137,3,85.47
2025-02-14,North,133,6,85.85
2025-02-15,South,236,7,83.6
2025-02-16,East,155,5,86.78
2025-02-17,West,103,1,88.45
