date,region,sales
2023-01-01,North,41630.78
2023-02-01,South,43621.42
2023-03-01,East,44179.18
2023-04-01,West,43493.43
2023-05-01,North,45983.89
2023-06-01,South,45671.82
2023-07-01,East,44858.38
2023-08-01,West,43626.16
2023-09-01,North,43455.29
2023-10-01,South,41804.97
2023-11-01,East,41630.42
2023-12-01,West,42875.26
2024-01-01,North,41407.42
2024-02-01,South,41236.32
2024-03-01,East,42596.37
2024-04-01,West,41746.54
2024-05-01,North,44897.25
2024-06-01,South,46424.62
2024-07-01,East,45432.39
2024-08-01,West,46202.61
2024-09-01,North,45935.82
2024-10-01,South,47318.72
2024-11-01,East,47286.7
2024-12-01,West,45403.09
2025-01-01,North,43554.76
2025-02-01,South,43728.98
2025-03-01,East,42587.1
2025-04-01,West,45006.42
2025-05-01,North,42042.49
2025-06-01,South,44154.61
2025-07-01,East,46252.87
2025-08-01,West,45039.77
2025-09-01,North,46107.58
2025-10-01,South,47383.46
2025-11-01,East,47660.78
2025-12-01,West,48438.91
2026-01-01,North,51679.65
2026-02-01,South,49772.93
2026-03-01,East,48088.46
2026-04-01,West,47355.36
2026-05-01,North,47244.63
2026-06-01,South,45930.59
2026-07-01,East,45209.85
2026-08-01,West,45702.52
2026-09-01,North,46716.45
2026-10-01,South,45426.63
2026-11-01,East,47773.92
2026-12-01,West,47423.84
