date,ticker,close,volume
2025-01-01,ALPHA,98.59,281316
2025-01-02,BETA,98.38,204488
2025-01-03,GAMMA,96.04,146573
2025-01-04,ALPHA,95.11,92087
2025-01-05,BETA,93.89,269085
2025-01-06,GAMMA,92.93,185327
2025-01-07,ALPHA,88.93,157164
2025-01-08,BETA,87.54,365897
2025-01-09,GAMMA,86.48,24213
2025-01-10,ALPHA,85.41,113918
2025-01-11,BETA,86.82,399014
2025-01-12,GAMMA,84.82,172546
2025-01-13,ALPHA,87.16,131081
2025-01-14,BETA,90.87,129164
2025-01-15,GAMMA,90.89,390343
2025-01-16,ALPHA,91.19,41771
2025-01-17,BETA,94.73,36795
2025-01-18,GAMMA,94.88,132457
2025-01-19,ALPHA,97.19,331539
2025-01-20,BETA,98.44,310636
2025-01-21,GAMMA,98.76,77383
2025-01-22,ALPHA,99.7,74684
2025-01-23,BETA,95.06,301136
2025-01-24,GAMMA,93.91,12249
2025-01-25,ALPHA,91.61,60028
2025-01-26,BETA,91.82,267390
2025-01-27,GAMMA,91.99,183625
2025-01-28,ALPHA,97.5,286764
2025-01-29,BETA,100.2,271760
2025-01-30,GAMMA,99.53,327007
2025-01-31,ALPHA,100.01,222685
2025-02-01,BETA,102.33,178750
2025-02-02,GAMMA,100.89,222326
2025-02-03,ALPHA,98.05,91550
2025-02-04,BETA,99.92,114107
2025-02-05,GAMMA,99.43,273750
2025-02-06,ALPHA,99.84,24519
2025-02-07,BETA,100.31,251827
2025-02-08,GAMMA,99.97,253699
2025-02-09,ALPHA,101.06,18088
2025-02-10,BETA,101.54,211369
2025-02-11,GAMMA,102.17,244768
2025-02-12,ALPHA,104.47,155440
2025-02-13,BETA,105.09,86598
2025-02-14,GAMMA,104.97,335275
2025-02-15,ALPHA,106.33,267957
2025-02-16,BETA,106.18,302406
2025-02-17,GAMMA,102.8,51492
