student_id,study_hours,math_score,reading_score,writing_score,passed,parent_education
S001,9.53,90,79.0,81.0,1,High School
S002,5.8,66,65.0,68.0,1,College
S003,7.51,73,80.0,71.0,1,Graduate
S004,9.97,85,73.0,88.0,1,High School
S005,4.58,70,68.0,74.0,1,College
S006,10.5,89,82.0,93.0,1,Graduate
S007,4.11,59,57.0,61.0,1,High School
S008,8.04,77,77.0,81.0,1,College
S009,2.29,46,52.0,48.0,0,Graduate
S010,1.19,41,48.0,31.0,0,High School
S011,2.52,66,77.0,62.0,1,College
S012,7.46,78,89.0,71.0,1,Graduate
S013,7.14,79,85.0,77.0,1,High School
S014,4.1,69,75.0,71.0,1,College
S015,11.79,100,98.0,95.0,1,Graduate
S016,6.43,82,73.0,91.0,1,High School
S017,6.42,73,69.0,69.0,1,College
S018,3.72,65,74.0,71.0,1,Graduate
S019,4.62,55,43.0,50.0,1,High School
S020,9.86,97,89.0,100.0,1,College
S021,5.36,77,69.0,75.0,1,Graduate
S022,11.77,95,100.0,100.0,1,High School
S023,2.16,54,58.0,55.0,0,College
S024,11.44,100,96.0,100.0,1,Graduate
S025,7.32,69,79.0,77.0,1,High School
S026,7.06,81,87.0,80.0,1,College
S027,1.29,50,57.0,57.0,0,Graduate
S028,11.04,92,83.0,83.0,1,High School
S029,3.41,80,68.0,71.0,1,College
S030,3.13,57,67.0,59.0,1,Graduate
S031,2.84,54,64.0,53.0,0,High School
S032,11.99,100,97.0,91.0,1,College
S033,8.87,89,86.0,82.0,1,Graduate
S034,6.95,78,90.0,72.0,1,High School
S035,11.96,93,100.0,95.0,1,College
S036,11.37,100,97.0,97.0,1,Graduate
S037,8.11,71,74.0,77.0,1,High School
S038,4.83,66,72.0,60.0,1,College
S039,3.94,57,54.0,66.0,1,Graduate
S040,4.44,72,69.0,69.0,1,High School
S041,3.32,60,72.0,65.0,1,College
S042,6.64,78,74.0,69.0,1,Graduate
S043,8.61,73,75.0,74.0,1,High School
S044,6.07,71,79.0,63.0,1,College
S045,9.77,90,80.0,86.0,1,Graduate
S046,11.75,100,100.0,100.0,1,High School
S047,10.07,80,69.0,85.0,1,College
S048,5.84,80,79.0,82.0,1,Graduate
