date,sku,product_name,category,warehouse,opening_stock,purchases,units_sold,closing_stock,unit_cost,unit_price,reorder_level
2025-01-01,SKU-000,Widget A,Components,North DC,143,48,18,173,32.81,106.86,149
2025-01-02,SKU-001,Widget B,Finished Goods,South DC,32,207,138,101,33.83,45.11,137
2025-01-03,SKU-002,Widget C,Packaging,West DC,379,109,109,379,49.02,58.56,133
2025-01-04,SKU-003,Widget D,Components,North DC,403,104,150,357,63.21,13.17,137
2025-01-05,SKU-004,Widget A,Finished Goods,South DC,181,89,221,49,33.7,30.44,127
2025-01-06,SKU-005,Widget B,Packaging,West DC,160,153,112,201,78.32,118.36,116
2025-01-07,SKU-006,Widget C,Components,North DC,238,52,28,262,38.0,132.24,157
2025-01-08,SKU-007,Widget D,Finished Goods,South DC,321,21,14,328,57.44,131.04,165
2025-01-09,SKU-008,Widget A,Packaging,West DC,409,110,33,486,84.13,159.68,50
2025-01-10,SKU-009,Widget B,Components,North DC,221,8,83,146,8.92,58.57,48
2025-01-11,SKU-010,Widget C,Finished Goods,South DC,279,52,159,172,12.47,64.87,126
2025-01-12,SKU-011,Widget D,Packaging,West DC,369,212,158,423,14.97,60.45,111
2025-01-13,SKU-000,Widget A,Components,North DC,384,147,186,345,67.56,19.0,61
2025-01-14,SKU-001,Widget B,Finished Goods,South DC,116,5,181,0,75.99,125.7,99
2025-01-15,SKU-002,Widget C,Packaging,West DC,222,154,37,339,33.17,126.79,122
2025-01-16,SKU-003,Widget D,Components,North DC,106,195,231,70,36.42,131.43,150
2025-01-17,SKU-004,Widget A,Finished Goods,South DC,129,76,167,38,39.17,65.99,70
2025-01-18,SKU-005,Widget B,Packaging,West DC,44,77,15,106,55.34,149.65,53
2025-01-19,SKU-006,Widget C,Components,North DC,245,88,91,242,63.8,134.12,155
2025-01-20,SKU-007,Widget D,Finished Goods,South DC,46,114,184,0,48.6,40.51,89
2025-01-21,SKU-008,Widget A,Packaging,West DC,378,199,187,390,75.18,125.95,137
2025-01-22,SKU-009,Widget B,Components,North DC,377,115,68,424,47.21,12.71,142
2025-01-23,SKU-010,Widget C,Finished Goods,South DC,378,126,237,267,9.04,14.88,56
2025-01-24,SKU-011,Widget D,Packaging,West DC,97,149,186,60,52.35,142.05,160
2025-01-25,SKU-000,Widget A,Components,North DC,488,9,109,388,69.9,43.09,108
2025-01-26,SKU-001,Widget B,Finished Goods,South DC,423,28,50,401,63.52,147.76,138
2025-01-27,SKU-002,Widget C,Packaging,West DC,418,86,107,397,32.28,138.12,94
2025-01-28,SKU-003,Widget D,Components,North DC,182,176,226,132,29.89,134.58,82
2025-01-29,SKU-004,Widget A,Finished Goods,South DC,299,196,125,370,37.45,81.89,123
2025-01-30,SKU-005,Widget B,Packaging,West DC,277,202,207,272,66.42,92.16,157
2025-01-31,SKU-006,Widget C,Components,North DC,302,43,223,122,10.59,124.55,76
2025-02-01,SKU-007,Widget D,Finished Goods,South DC,479,13,85,407,19.5,99.56,155
2025-02-02,SKU-008,Widget A,Packaging,West DC,446,148,12,582,8.43,146.48,154
2025-02-03,SKU-009,Widget B,Components,North DC,468,200,154,514,15.02,128.1,106
2025-02-04,SKU-010,Widget C,Finished Goods,South DC,42,185,154,73,29.61,107.83,41
2025-02-05,SKU-011,Widget D,Packaging,West DC,456,219,93,582,59.2,116.99,149
2025-02-06,SKU-000,Widget A,Components,North DC,180,95,116,159,52.46,83.87,169
2025-02-07,SKU-001,Widget B,Finished Goods,South DC,163,86,159,90,8.92,127.25,134
2025-02-08,SKU-002,Widget C,Packaging,West DC,499,112,27,584,25.59,91.38,117
2025-02-09,SKU-003,Widget D,Components,North DC,434,210,278,366,43.63,61.51,139
2025-02-10,SKU-004,Widget A,Finished Goods,South DC,292,14,134,172,44.56,134.37,121
2025-02-11,SKU-005,Widget B,Packaging,West DC,215,186,249,152,7.99,23.04,88
2025-02-12,SKU-006,Widget C,Components,North DC,129,113,84,158,46.35,50.98,46
2025-02-13,SKU-007,Widget D,Finished Goods,South DC,183,46,44,185,50.16,127.26,109
2025-02-14,SKU-008,Widget A,Packaging,West DC,287,94,139,242,4.76,127.89,129
2025-02-15,SKU-009,Widget B,Components,North DC,323,189,225,287,32.92,153.76,65
2025-02-16,SKU-010,Widget C,Finished Goods,South DC,418,180,193,405,75.13,21.81,143
2025-02-17,SKU-011,Widget D,Packaging,West DC,461,3,235,229,15.91,73.96,123
