date,city,temperature,rainfall,humidity
2025-01-01,Delhi,23.62,24.14,77.46
2025-01-02,Mumbai,23.97,19.98,73.18
2025-01-03,Bengaluru,26.54,20.44,44.67
2025-01-04,Delhi,28.34,13.55,79.4
2025-01-05,Mumbai,29.43,14.36,64.43
2025-01-06,Bengaluru,28.54,8.31,69.55
2025-01-07,Delhi,30.44,0.0,80.82
2025-01-08,Mumbai,30.76,21.78,54.54
2025-01-09,Bengaluru,32.49,5.45,77.28
2025-01-10,Delhi,31.23,8.9,64.78
2025-01-11,Mumbai,32.06,7.03,81.18
2025-01-12,Bengaluru,33.85,20.52,71.9
2025-01-13,Delhi,32.43,7.46,44.43
2025-01-14,Mumbai,31.96,19.57,55.31
2025-01-15,Bengaluru,34.8,12.05,85.82
2025-01-16,Delhi,33.13,26.82,48.71
2025-01-17,Mumbai,31.28,2.96,84.56
2025-01-18,Bengaluru,32.8,4.82,75.61
2025-01-19,Delhi,31.04,5.97,77.48
2025-01-20,Mumbai,29.38,20.37,71.88
2025-01-21,Bengaluru,32.72,17.89,58.75
2025-01-22,Delhi,28.05,16.24,45.56
2025-01-23,Mumbai,27.51,10.57,91.85
2025-01-24,Bengaluru,26.07,12.11,62.19
2025-01-25,Delhi,25.35,2.54,42.22
2025-01-26,Mumbai,25.81,17.12,49.14
2025-01-27,Bengaluru,22.99,15.05,57.05
2025-01-28,Delhi,22.93,14.57,62.87
2025-01-29,Mumbai,21.83,20.47,84.18
2025-01-30,Bengaluru,20.46,14.75,71.18
2025-01-31,Delhi,18.39,0.0,56.89
2025-02-01,Mumbai,17.61,8.28,65.4
2025-02-02,Bengaluru,15.29,20.41,79.19
2025-02-03,Delhi,17.26,7.35,48.75
2025-02-04,Mumbai,15.62,15.82,79.93
2025-02-05,Bengaluru,15.45,13.69,87.73
2025-02-06,Delhi,15.93,3.31,68.0
2025-02-07,Mumbai,12.98,16.03,91.68
2025-02-08,Bengaluru,14.39,16.19,66.8
2025-02-09,Delhi,14.07,3.02,91.5
2025-02-10,Mumbai,15.66,10.76,67.37
2025-02-11,Bengaluru,16.13,0.0,81.52
2025-02-12,Delhi,15.53,3.33,58.38
2025-02-13,Mumbai,17.69,26.08,68.01
2025-02-14,Bengaluru,18.51,9.06,66.35
2025-02-15,Delhi,19.01,7.63,69.06
2025-02-16,Mumbai,18.68,14.61,43.81
2025-02-17,Bengaluru,19.88,10.22,89.63
