date,source,sessions,bounce_rate,conversions,pageviews
2025-01-01,Organic,735,46.52,54,1609
2025-01-02,Paid,558,60.43,11,2274
2025-01-03,Referral,727,37.22,35,1871
2025-01-04,Email,1402,54.31,68,5523
2025-01-05,Organic,1781,67.99,157,3533
2025-01-06,Paid,500,68.32,41,1554
2025-01-07,Referral,2062,58.37,144,9732
2025-01-08,Email,2228,74.75,94,3731
2025-01-09,Organic,1876,70.42,88,3400
2025-01-10,Paid,414,70.99,9,1735
2025-01-11,Referral,1309,69.14,75,2591
2025-01-12,Email,1631,37.89,146,5830
2025-01-13,Organic,1582,54.16,31,3798
2025-01-14,Paid,606,42.64,48,1373
2025-01-15,Referral,2146,64.76,99,3706
2025-01-16,Email,2281,41.37,183,8594
2025-01-17,Organic,1494,53.17,23,3084
2025-01-18,Paid,1371,65.2,39,4067
2025-01-19,Referral,1959,71.37,116,5463
2025-01-20,Email,403,51.81,21,1636
2025-01-21,Organic,1113,29.32,49,3730
2025-01-22,Paid,1329,41.63,24,5533
2025-01-23,Referral,1495,67.66,33,6011
2025-01-24,Email,1982,70.91,85,8401
2025-01-25,Organic,745,46.39,36,3181
2025-01-26,Paid,792,55.29,48,3768
2025-01-27,Referral,1386,66.94,113,2261
2025-01-28,Email,1794,71.54,43,4283
2025-01-29,Organic,2269,31.02,84,3510
2025-01-30,Paid,808,30.14,33,2200
2025-01-31,Referral,1198,42.44,37,3328
2025-02-01,Email,1008,67.08,38,3301
2025-02-02,Organic,1410,63.95,83,4598
2025-02-03,Paid,1192,72.43,87,4289
2025-02-04,Referral,1826,55.2,147,3915
2025-02-05,Email,1672,35.26,58,2831
2025-02-06,Organic,1446,56.48,107,6579
2025-02-07,Paid,2062,44.23,44,9582
2025-02-08,Referral,1042,32.72,21,2622
2025-02-09,Email,970,72.6,24,1886
2025-02-10,Organic,1703,64.48,26,4118
2025-02-11,Paid,539,42.55,20,2462
2025-02-12,Referral,724,43.22,16,2597
2025-02-13,Email,933,32.63,25,2834
2025-02-14,Organic,1131,69.25,96,5334
2025-02-15,Paid,1235,47.47,41,3017
2025-02-16,Referral,1490,33.77,86,5546
2025-02-17,Email,1966,33.3,43,8253
